timestamp	accel_x	accel_y	accel_z	accel_mag	temperature	mag_x	mag_y	mag_z	azimuth	pitch	roll
1448090676034	-0.215301513671875	9.859130859375	2.055084228515625	-6.38623253813004	0	-7.319641	-27.719116	-26.998901	23.658203	-78.669106	-1.2202158
1448090676074	-0.177215576171875	9.8638916015625	2.038421630859375	-6.382407006570745	0	-7.1395874	-27.778625	-26.818848	23.618073	-78.65625	-1.2154182
1448090676116	-0.174835205078125	9.888885498046875	2.000335693359375	-6.383971479939997	0	-7.258606	-27.659607	-26.939392	23.539246	-78.641525	-1.2140468
1448090676156	-0.21173095703125	9.897216796875	2.0086669921875	-6.386928549110126	0	-7.258606	-27.598572	-26.579285	23.447327	-78.62799	-1.2183704
1448090676197	-0.195068359375	9.896026611328125	2.0181884765625	-6.38327607017454	0	-7.6797485	-27.598572	-25.979614	23.42514	-78.623276	-1.2166744
1448090676237	-0.16888427734375	9.893646240234375	2.00628662109375	-6.381538163480201	0	-7.6797485	-27.719116	-25.91858	23.39441	-78.62218	-1.2083603
1448090676277	-0.17840576171875	9.8876953125	1.994384765625	-6.385536668752499	0	-8.279419	-27.418518	-25.559998	23.411804	-78.6016	-1.2044132
1448090676317	-0.20458984375	9.905548095703125	2.0277099609375	-6.38188567426557	0	-8.279419	-27.359009	-25.619507	23.425598	-78.59638	-1.2051792
1448090676362	-0.196258544921875	9.862701416015625	2.021759033203125	-6.387798762095567	0	-8.279419	-27.479553	-26.039124	23.467194	-78.57962	-1.2048736
1448090676409	-0.20697021484375	9.903167724609375	2.013427734375	-6.384667031027547	0	-8.338928	-26.939392	-26.219177	23.508759	-78.57436	-1.2038933
1448090676449	-0.203399658203125	9.869842529296875	2.0181884765625	-6.38832099622394	0	-8.459473	-27.059937	-26.219177	23.525665	-78.56849	-1.2075677
1448090676489	-0.184356689453125	9.881744384765625	1.99676513671875	-6.386928549110126	0	-8.81958	-26.879883	-26.399231	23.54361	-78.57144	-1.2071468
1448090676530	-0.1998291015625	9.8638916015625	2.031280517578125	-6.3867545330851385	0	-8.518982	-27.059937	-26.159668	23.588104	-78.55905	-1.2092261
1448090676570	-0.208160400390625	9.86865234375	1.995574951171875	-6.392501745038486	0	-8.699036	-27.178955	-25.979614	23.608734	-78.54932	-1.2067616
1448090676610	-0.186737060546875	9.912689208984375	2.016998291015625	-6.379801138167995	0	-8.699036	-27.23999	-25.738525	23.640198	-78.545334	-1.2041204
1448090676650	-0.185546875	9.840087890625	1.981292724609375	-6.395466208980601	0	-8.279419	-27.598572	-25.738525	23.672272	-78.54239	-1.2005311
1448090676691	-0.191497802734375	9.9019775390625	2.033660888671875	-6.379627484061187	0	-8.099365	-27.479553	-26.039124	23.686707	-78.53521	-1.1998686
1448090676731	-0.1998291015625	9.888885498046875	2.012237548828125	-6.385884585746353	0	-8.039856	-27.178955	-26.039124	23.688568	-78.52937	-1.2024363
1448090676771	-0.20220947265625	9.8829345703125	1.96820068359375	-6.393547732417506	0	-7.798767	-27.359009	-26.45874	23.665009	-78.5336	-1.2011639
1448090676811	-0.185546875	9.860321044921875	2.059844970703125	-6.381016963402434	0	-7.6797485	-27.059937	-26.399231	23.639496	-78.517624	-1.1964493
1448090676852	-0.172454833984375	9.90435791015625	2.002716064453125	-6.381016963402434	0	-7.9193115	-27.178955	-26.278687	23.5979	-78.51931	-1.1885962
1448090676892	-0.22125244140625	9.855560302734375	2.02056884765625	-6.392676054012863	0	-8.279419	-27.359009	-26.339722	23.60434	-78.51425	-1.1943101
1448090676932	-0.17840576171875	9.867462158203125	2.019378662109375	-6.38484094089111	0	-8.338928	-27.2995	-26.219177	23.61795	-78.50558	-1.1937413
1448090676972	-0.193878173828125	9.874603271484375	2.01104736328125	-6.387276607728145	0	-8.459473	-27.119446	-26.278687	23.62674	-78.49795	-1.1944765
1448090677012	-0.205780029296875	9.8829345703125	2.012237548828125	-6.387624701779237	0	-8.338928	-26.939392	-26.278687	23.641968	-78.492386	-1.1960828
1448090677064	-0.21173095703125	9.884124755859375	2.024139404296875	-6.386580525914362	0	-8.099365	-27.119446	-26.399231	23.644745	-78.492455	-1.1975251
1448090677104	-0.210540771484375	9.87579345703125	2.04913330078125	-6.383971479939997	0	-8.338928	-26.519775	-26.219177	23.645721	-78.48617	-1.200204
1448090677144	-0.189117431640625	9.90435791015625	2.00152587890625	-6.383623757397391	0	-8.758545	-26.519775	-25.85907	23.675995	-78.48065	-1.1985106
1448090677185	-0.208160400390625	9.888885498046875	2.024139404296875	-6.385362723523384	0	-8.699036	-26.219177	-25.79956	23.7052	-78.47887	-1.1956525
1448090677225	-0.20697021484375	9.8876953125	2.013427734375	-6.386928549110126	0	-9.1796875	-26.159668	-25.619507	23.761688	-78.4829	-1.1987541
1448090677265	-0.19744873046875	9.879364013671875	1.9896240234375	-6.390236537685045	0	-8.938599	-26.278687	-25.85907	23.781006	-78.487724	-1.1970999
1448090677312	-0.195068359375	9.879364013671875	2.02056884765625	-6.385362723523384	0	-8.399963	-26.579285	-26.159668	23.821655	-78.48491	-1.1928772
1448090677352	-0.198638916015625	9.876983642578125	2.019378662109375	-6.386406527596446	0	-8.338928	-26.818848	-26.219177	23.829834	-78.48267	-1.1921616
1448090677392	-0.195068359375	9.867462158203125	2.0086669921875	-6.3888433101498245	0	-8.099365	-27.178955	-26.638794	23.817932	-78.48459	-1.1888541
1448090677433	-0.201019287109375	9.867462158203125	2.038421630859375	-6.385362723523384	0	-7.978821	-27.2995	-26.278687	23.800446	-78.4799	-1.1899182
1448090677473	-0.191497802734375	9.8829345703125	1.97772216796875	-6.39058493335482	0	-8.21991	-26.998901	-26.278687	23.782928	-78.48396	-1.1873726
1448090677513	-0.195068359375	9.88055419921875	2.05865478515625	-6.379627484061187	0	-8.279419	-27.059937	-26.219177	23.77893	-78.47762	-1.1839336
1448090677553	-0.21649169921875	9.888885498046875	2.045562744140625	-6.383449909371668	0	-8.399963	-26.818848	-26.098633	23.787903	-78.46964	-1.1872914
1448090677593	-0.18792724609375	9.879364013671875	2.02056884765625	-6.384319237813125	0	-8.21991	-26.939392	-26.399231	23.786896	-78.46697	-1.1856441
1448090677634	-0.201019287109375	9.878173828125	2.016998291015625	-6.386928549110126	0	-8.1588745	-27.359009	-26.399231	23.780548	-78.46465	-1.1833888
1448090677685	-0.1998291015625	9.9019775390625	1.997955322265625	-6.386058557513792	0	-8.399963	-27.418518	-26.69983	23.76181	-78.46974	-1.1812829
1448090677732	-0.20220947265625	9.881744384765625	2.02294921875	-6.385710622826371	0	-8.639526	-27.598572	-26.45874	23.768219	-78.47221	-1.1833042
1448090677772	-0.196258544921875	9.88055419921875	1.9991455078125	-6.388495091997704	0	-8.81958	-27.359009	-26.45874	23.793365	-78.47031	-1.1846911
1448090677812	-0.205780029296875	9.876983642578125	1.986053466796875	-6.392327444963111	0	-8.879089	-27.23999	-26.579285	23.821198	-78.46881	-1.1831369
1448090677852	-0.189117431640625	9.849609375	1.997955322265625	-6.392153153785374	0	-8.938599	-26.818848	-26.519775	23.852753	-78.46859	-1.1840941
1448090677893	-0.1807861328125	9.888885498046875	1.9991455078125	-6.385014859594039	0	-8.879089	-26.638794	-26.579285	23.878601	-78.46641	-1.1827192
1448090677933	-0.215301513671875	9.86865234375	2.03009033203125	-6.388495091997704	0	-8.518982	-26.818848	-26.45874	23.897491	-78.45895	-1.1850599
1448090677985	-0.196258544921875	9.865081787109375	2.0181884765625	-6.387972831274226	0	-8.81958	-26.69983	-26.159668	23.900543	-78.4592	-1.1836073
1448090678026	-0.208160400390625	9.878173828125	2.016998291015625	-6.387972831274226	0	-8.879089	-26.69983	-25.91858	23.934174	-78.45978	-1.181634
1448090678066	-0.20458984375	9.896026611328125	1.967010498046875	-6.392153153785374	0	-8.699036	-26.579285	-26.219177	23.969147	-78.457085	-1.181546
1448090678106	-0.2188720703125	9.850799560546875	2.080078125	-6.384319237813125	0	-8.879089	-26.759338	-25.91858	23.980225	-78.46767	-1.1777749
1448090678146	-0.210540771484375	9.89007568359375	2.002716064453125	-6.388669196639215	0	-8.639526	-26.879883	-26.039124	24.033234	-78.45765	-1.1854391
